bank_name,url,article_title,article_body,article_publish_date,article_publish_year
Bank of America,https://newsroom.bankofamerica.com/content/newsroom/press-releases/2023/06/bank-of-america-to-join-one-of-the-world-s-largest-sustainable-a.html,,new york ny – american express global business travel amex gbt world lead bb travel platform shell aviation today announce bank america first financial institution join sustainable aviation fuel saf program program launch million gallon saf available corporate customer – enough power almost business trip londontonew york operate avelia platform one world first blockchainpowere digital saf bookandclaim solution business travelandrew crawley president american express global business travel say business travel sector critical role play scale saf accelerate decarbonization travel move close achieve objective company like bank america make bold commitment recognize powerful role corporate travel program play achieve companys broad sustainability ambitionssaf currently aviation industry promise pathway decarbonize air travel however today saf make less available aviation fuel two eighttime expensive conventional fossilbase jet fuel amex gbt shell aviation program aim unite aviation value chain scale saf supply demand entire ecosystem benefit program continue gain momentum participant also include aon cathay pacific jetblue deltabeth sullivan head global corporate executive travel bank america say another step bank america take reach goal saf account least annual employee air travel purchase saf work company take tangible step help build affordable accessible sustainable aviation fuel marketthe program connect airline buy capacity business willing share safs ongoing price premium – draw amex gbt customer country corporation reduce business travel emission lifecycle basis work towards sciencebase emission target commit purchase saf environmental attribute commitment support ongoing market development saf introduce aviation fuel network affordable price cost share across value chainjan toschka president shell aviation say brilliant see bank america leading finance sector charge decarbonize business travel saf I m proud choose avelia help corporation choose fly saf power catalyze scale technology accelerate decarbonization across aviation sector fantastic opportunity business make aviation sustainable support transition help make happenthis collaboration amex gbt shell aviation bank america tie together several private sector effort help finance aviation transition amplify collective effort scale saf shell partner bank americas ceo brian moynihan cochair sustainable market initiative enable private sector accelerate transition sustainable future bank america saf purchase year avelia sustainable aviation buyer alliance bank commitment mobilize billion sustainable finance saf production million gallon saf per year begin push great adoption saf part bank trillion tenyear sustainable finance commitment help drive progress environmental social issuessupporte quotelauren uppink head climate strategy world economic forum world economic forum international organization publicprivate partnership – effectiveness depend industry leader push initiative forward early saf effort focus important commitment company sign ambition statement saf today announcement signify transition underway company move pledge actual business practice program avelia represent culmination year groundwork building value chain support scale saf operational theoretical become realto learn avelia please visit aveliasolutionscom notes editorsavelia intend complement work alongside airline current corporate saf program offer solution inclusive neutral respect airline technology production pathway fuel feedstocksbookandclaim allow traveler pay saf claim environmental benefit even saf available departure airport saf instead feed another aircraft airport availablethe saf certify line regulatory standard place within country deliveryavelia use blockchainpowere bookandclaim method follow smart freight centre mit center transportation logistic saf guideline bank america founder sustainable aviation buyer alliance saba lead environmental defense fund rocky mountain institute year partnership skynrg ceo cochair sustainable market initiative smi member world economic forum wefshell member wef strategic partner skynrg smiamex gbt member wef saba american express global business travelamerican express global business travel amex gbt world lead bb travel platform provide software service manage travel expense meeting event company size build valuable marketplace bb travel deliver unrivalled choice value experience travel professional country customer traveler enjoy powerful back american express global business travelvisit amexglobalbusinesstravelcom information amex gbt follow amexgbt twitter linkedin instagrambank americabank america one world lead financial institution serve individual consumer small middlemarket business large corporation full range banking invest asset management financial risk management product service company provide unmatched convenience united states serve approximately million consumer small business client approximately retail financial center approximately atms awardwinne digital banking approximately million verify digital users bank america global leader wealth management corporate investment banking trading across broad range asset class serve corporation government institution individual around world bank america offer industryleade support approximately million small business household suite innovative easytouse online product service company serve client operation across united states territories countries bank america corporation stock nyse bac list new york stock exchange,"June 21, 2023 at 10:30 AM Eastern",2023
Bank of America,https://newsroom.bankofamerica.com/content/newsroom/press-releases/2023/04/bofa-launches-electric-vehicle-resource-center-to-power-ev-adopt.html,,whatbank america ev resource center comprehensive collection resource dedicate help consumer learn make informed decision consider electric vehicle ev purchase new site provide interactive tool content variety topic include type evs drive range maintenance cost tax incentive also link locate charge station apply auto loanwhyadoption evs could increase sevenfold pdf accord bank america institute trajectory require address common misconception around range anxiety financing option seeing need straightforward engage tool resources bank america create ev resource center empower consumer interested evs make informed decisionsthe ev resource center also late bank america broad commitment environmental sustainability effort help client reduce carbon footprint bank america achieve carbon neutrality operation since committed reach net zero financing activity operation supply chain addition bank america goal deploy mobilize trillion sustainable finance capital include trillion support environmentally sustainable business activitieswhoreporter interview fabien thierry head consumer vehicle products bank america future ev adoption advice purchase evhowcustomer visit httpsbankofamericacomevresource access ev resource center find information electric vehiclesmoreearlier year bank america become first major bank offer consumer option finance residential electric vehicle charger alongside auto loansbank americabank america one world lead financial institution serve individual consumer small middlemarket business large corporation full range banking invest asset management financial risk management product service company provide unmatched convenience united states serve approximately million consumer small business client approximately retail financial center approximately atms awardwinne digital banking approximately million verify digital users bank america global leader wealth management corporate investment banking trading across broad range asset class serve corporation government institution individual around world bank america offer industryleade support approximately million small business household suite innovative easytouse online product service company serve client operation across united states territories countries bank america corporation stock nyse bac list new york stock exchange,"April 26, 2023 at 10:00 AM Eastern",2023
Bank of America,https://newsroom.bankofamerica.com/content/newsroom/press-releases/2023/04/grid-alternatives-receives-new-funding-from-bank-of-america-for-.html,,grid alternative large nonprofit installer renewable energy we announce renew partnership bank america bank america longstanding corporate partner renew investment one grid workforce development program solarcorps fellowship program funding support grid solarcorps fellow obtain handson experience mentorship professional development increase knowledge career renewable energydemand solar energy continue grow demand drive need solar industry worker say alex liftman global environmental executive bank america moment time create access clean energy clean energy job underrepresented community like never that s pleased support solarcorps broad mission grid alternative helping meet demand create healthy community economic mobility processgrid mission build communitypowere solution advance economic environmental justice renewable energy across united states sovereign tribal nation internationally bank america champion solarcorps fellow program support critical helping grid advance equity provide valuable experience individual community serve help community gain access renewable energy solution say erica mackie grid ceo cofounder thank bank america support grids work take new importance response inflation reduction act ira sign law represent significant legislation us history combat climate crisis strengthen energy security us department energy solar energy technology office national renewable energy laboratory predict strong growth solar industry workforce result ira september solar future study indicate order achieve bidenharris administration goal inclusive equitable transition fully decarbonize electricity system solar workforce need grow approximately worker worker grid proud part solar industrys job growth provide workforce development training program result trainee student volunteer gain valuable experience solar installation construction outreach community solar education diversify solar workforce highly qualified employee part grids mission critical continued growth renewable energy sector grid demonstrate commitment workforce transition serve typically underrepresented energy industry include woman black indigenous people color bipocidentifye individual grid also recruit job training participant economic environmental justice community locate affiliate office region include california riverside county la county sacramento fresno oakland san diego denver kingman park colorado washington dc project exclusively benefit underresource household define annual household income area median incomesince people serve solarcorps fellows handson experience help get next job follow fellowship bank america provide million funding support fellow since provide total million funding grid include solarcorps fellowship program since bank americabank america one world lead financial institution serve individual consumer small middlemarket business large corporation full range banking invest asset management financial risk management product service company provide unmatched convenience united states serve approximately million consumer small business client approximately retail financial center approximately atms awardwinne digital banking approximately million verify digital users bank america global leader wealth management corporate investment banking trading across broad range asset class serve corporation government institution individual around world bank america offer industryleade support approximately million small business household suite innovative easytouse online product service company serve client operation across united states territories countries bank america corporation stock nyse bac list new york stock exchange,"April 26, 2023 at 9:00 AM Eastern",2023
Bank of America,https://newsroom.bankofamerica.com/content/newsroom/press-releases/2023/04/us-communities-receive-resilience-funding.html,,rcitie – washington dc resilient community impact fund rcifund begin roll funding resilience build community across united states four us cities atlanta berkeley los angeles new orleans receive matching grant we resilience innovation subfund seed bank america project select strengthen community resilience close racial equity gap support small business resilience preparednessfor city we around globe catalyze resilience finance specifically community level wellknown challenge respond increase demand fund city resilient city network rcitie establish rcifund fund unique measure return investment resilience value provide increase equitable service access social cohesion greenhouse gas ghg reduction well holistic safety security community neighborhood building catalytic funding also provide mean initiate match fund local levelthrough commitment rcifund say lauren sorkin executive director resilient city network create mechanism enable city undertake important work strengthen resilience vulnerable community enhance social cohesion racial equity truly align resilient city network missioncitie densely populate interconnect ever expose social economic climate vulnerability say rich brown environmental program director bank america resilient community impact fund provide funding support project demonstrate cost effectiveness resilience investment time project allow city prevent reduce impact shock stress city resident economy infrastructure environmentrcifund aim achieve goal raise we million support city project we around worldwe excite make first grant city project roll model catalyze local funding match building resilience ground note stewart sarkozybanoczy global director policy investment rcifund director look forward impact project scale work rcifund platform across globeatlanta racial equity neighborhood transformation,"April 19, 2023 at 8:00 AM Eastern",2023
Bank of America,https://newsroom.bankofamerica.com/content/newsroom/press-releases/2023/04/usgbc-announces-2023-leed-for-cities-leadership-program-cohort.html,,washington dc – us green building council usgbc developer leed green building rating system announce cohort city select participate leed city local government leadership program program aim help local government set goal collect datum validate performance lee city certificationthe city select year leed city cohort join dozen community across we set tracking goal towards well sustainability resilience quality life say peter templeton president ceo usgbc city county government understand climate challenge community face use leed city framework ensure measurable progress make address thembuilding community ability regenerate sustain health vitality inhabit say alex liftman global environmental executive bank america usgbc forefront drive development green building space longstanding partnership see creation prosperous resilient equitable community look forward see city hardwork action result lee city certificationthe cohort join local government participate program since inception program attract diverse participant – local government use framework engage stakeholder initiate plan seek recognition accomplishment establish goal city participate round express intent use leed city certification result attract federal grant dollar initiative support community resilience advance social equity line white house justice initiativethis leadership cohort bring together diverse local government around we pursue leed cities certification program provide peertopeer networking opportunity technical assistance access educational resource cover fee usgbc membership registration certification review participate governmentsthe cohort city represent population nearly million americans city arecolorado springs code moine iagrand junction colantana fllargo fllawrence kslexington kynorth miami flpalm coast flplano txsan diego cascottsdale azsouth bend inas today local government achieve leed city certification nearly leed process lee city system provide road map help jurisdiction evaluate track progress economic environmental social condition certification help local government achieve meaningful result attract new economic activity reach global climate goal improve air water quality enhance quality life allin bank america usgbc establish programs equity fellow position oneyear grant fund role person underrepresented community interested work intersection social equity sustainability build environmentbank america partner usgbc member since since provide million total grant funding nonprofit also integrate sustainability building design standard since use standard deliver workspace lee certify across global footprint company nearly million square foot certify green building space corporate real estate goal achieve certification space us green building councilthe us green building council usgbc commit prosperous sustainable future costefficient energysave green building usgbc work toward mission market transformation lee green building program robust educational offering international network local community leader annual greenbuild international conference expo center green schools advocacy support public policy encourage enable green building community information visit usgbcorg connect twitter facebook linkedinbank americabank america one world lead financial institution serve individual consumer small middlemarket business large corporation full range banking invest asset management financial risk management product service company provide unmatched convenience united states serve approximately million consumer small business client approximately retail financial center approximately atms awardwinne digital banking approximately million verify digital users bank america global leader wealth management corporate investment banking trading across broad range asset class serve corporation government institution individual around world bank america offer industryleade support approximately million small business household suite innovative easytouse online product service company serve client operation across united states territory approximately countries bank america corporation stock nyse bac list new york stock exchange,"April 13, 2023 at 10:00 AM Eastern",2023
Bank of America,https://newsroom.bankofamerica.com/content/newsroom/press-releases/2022/11/bank-of-america-and-crossboundary-energy-join-forces-to-expand-r.html,,crossboundary energy lead developer owner operator commercial industrial renewable energy project africa announce today sharm elsheikh egypt cop united nations climate change conference intention explore financing solution bank america rapidly scale investment renewable energy solution commercial industrial business across africa collaboration serve example blend finance transaction drive capital flow emerge market support crossboundarys delivery approximately mw solar wind generation mwh storage projectscrossboundary energy provides tailor fully finance renewable energy solution corporate customer allow avoid upfront capital expenditure technical risk still benefit cheap clean reliable power crossboundary currently deliver portfolio million project corporate customer across african country renewable energy provider choice several marketleading company present africa include unilever diageo rio tinto heineken ab inbev,"November 8, 2022 at 10:45 AM Eastern",2022
Bank of America,https://newsroom.bankofamerica.com/content/newsroom/press-releases/2022/10/the-american-forest-foundation-expands-access-to-carbon-markets-.html,,american forest foundation aff national conservation nonprofit specialize familyowne forestland today announce bank america provide grant help support aff family forest carbon program program uniquely design provide smallacreage underserve landowner access carbon market,"October 4, 2022 at 10:00 AM Eastern",2022
Bank of America,https://newsroom.bankofamerica.com/content/newsroom/press-releases/2022/09/bank-of-america-publishes-enhanced-task-force-on-climate-related.html,,bank america today publish recent task force climaterelate financial disclosure tcfd report include enhancement line guidance publish financial stability board tcfd well additional updatesbank americas tcfd report outline company work realize enterprise climate strategy includinghow climate change manage within companythe goal priority setaction take resource allocate achieve goalsit exposure management climaterelate risksmetric target track monitor progressthe tcfd framework help company articulate stakeholder – include client employee investor other – bank america manage mitigate climaterelate risk use financial intellectual capital help accelerate transition lowcarbon sustainable global economybank america early supporter financial stability board tcfd recommendation publish first tcfd report company commit ensure climaterelated risk opportunity properly manage across businessthe tcfd launch financial stability board aim use financial disclosure mean inform investor stakeholder company manage climate relate risksto learn read bank americas tcfd report additional disclosure company sustainable business model drive progress towards inclusive capitalism united nations sustainable development goal find annual report stakeholder capitalism metric sectionbank americabank america one world lead financial institution serve individual consumer small middlemarket business large corporation full range banking invest asset management financial risk management product service company provide unmatched convenience united states serve approximately million consumer small business client approximately retail financial center approximately atms awardwinne digital banking approximately million verify digital users bank america global leader wealth management corporate investment banking trading across broad range asset class serve corporation government institution individual around world bank america offer industryleade support approximately million small business household suite innovative easytouse online product service company serve client operation across united states territory approximately countries bank america corporation stock nyse bac list new york stock exchange,"September 29, 2022 at 3:30 PM Eastern",2022
Bank of America,https://newsroom.bankofamerica.com/content/newsroom/press-releases/2022/08/bank-of-america-hosts-virtual-electric-vehicle-show--premiering-.html,,bank america host second annual virtual electric vehicle show online convention center experience premiere world electric vehicle day september feature presentation auto industry leader manufacturers electric vehicle expert event entitle evolution offer public opportunity gain timely insight design trend car feature charge financing sustainabilitymanufacturer include daimler truck north america lucid mercedes benz volvo car showcase late offering think leader bank america forth evgo gostation discuss range ev trend topic include environmental sustainability advance sustainable transportation infrastructure register httpswwwbankofamericacomautoloanselectricvehiclesbank america commit environmental sustainability include offer streamlined auto financing electric vehicle sustainable solution increasingly important economic future delighted offer expert field provide perspective grow industry impact offer broad consumer access information select finance car say fabien thierry head consumer vehicle product bank americavirtual showroom evolution virtual electric vehicle showfeature presentation include pmsustainability drive futuretransportation global economy karen fang global head sustainable finance alex liftman global environmental executive bank america pm innovation drive electrificationvolvo car commitment electrification private sector innovation infrastructure alex tripi head volvo electrification pm sustainability market servesustainability community serve aron levine president prefer banking bofa talk commitment sustainability pm charge local communitieshow charge drive community reinvestment environmental justice kieth cockrell president bank america charlotte ray addison cmo gostation pm battery economicsbattery technology supply constraint economic martyn briggs bank america global research pm long haul low emissionsreduce emission transform commercial trucking industry rakesh aneja head emobility daimler truck north america pm infrastructure biden administration electrification goal what s need meet full adoption jeff allen executive director forth pm insight drive evolutiondevelope innovative financing solution mary hine droesch head consumer small business products bank america sharon miller president small business head specialty banking lending bank america pm intersection technology designlucid air – innovate way motortrend car year joann jung design director interiorbank america set tangible sustainable finance goal make measurable progress mobilize scale capital deployment help drive social environmental change bank america set goal achieve netzero greenhouse gas emission financing activity operation supply chain part company commitment deploy trillion sustainable finance approximately billion capital mobilize deploy align united nations sustainability development goal un sdgs bank americabank america one world lead financial institution serve individual consumer small middlemarket business large corporation full range banking invest asset management financial risk management product service company provide unmatched convenience united states serve approximately million consumer small business client approximately retail financial center approximately atms awardwinne digital banking approximately million verify digital users bank america global leader wealth management corporate investment banking trading across broad range asset class serve corporation government institution individual around world bank america offer industryleade support approximately million small business household suite innovative easytouse online product service company serve client operation across united states territory approximately countries bank america corporation stock nyse bac list new york stock exchangefor bank america news include dividend announcement important information register news email alert,"August 24, 2022 at 10:01 AM Eastern",2022
Bank of America,https://newsroom.bankofamerica.com/content/newsroom/press-releases/2022/06/bank-of-america-builds-on-its-environmental-commitment-to-power-.html,,bank america today announce year megawatt agreement constellation clean energy company purchase power projectspecific renewable energy certificate recs agreement help bank america power approximately percent global electricity consumption clean renewable energy portion mammoth central project third final phase broad mammoth solar project currently develop doral renewable llc starke pulaski county indianabank america receive renewable energy rec mammoth central part retail electricity supply contract constellation cover location delaware pennsylvania virginia power facility location solar energy bank america expect reduce greenhouse gas emission ghg associate energy use metric ton annually us environmental protection agency estimate equivalent emission passenger vehicle drive one yearthe agreement begin project construction complete project become operational expect late purchasing recs bank america also help facilitate development project provide renewable energy broad electric gridsupporting utilityscale solar energy project like one demonstrate strong commitment net zero say alex liftman global environmental executive bank america initiative enable we reduce operational impact environment help drive renewable energy development local community critical accelerate lowcarbon transition develop deploy lowcarbon solution include sustainable electric gridadditionally part bank agreement doral establish pollinator habitat solar energy facility enable naturebase benefit local community include enhanced perennial vegetation facilitate increase environmental benefit healthy habitat pollinators bank america require pollinator habitat specification select project partner pollinator scorecard use ensure habitat meet standard outline lead environmental nonprofit organization scorecard metric include much site cover wildflower native plant bloom time presence site management plan insecticide use outreach communitythrough purchase bank america demonstrating commitment address climate crisis directly support development newbuild renewable energy asset say jim mchugh chief commercial officer constellation focus expand suite sustainable power option soon include hourly carbonfree solution help customer reach net zero emission goalsbank america use constellation offsite renewable core retail power product facilitate renewable energy transaction core increase business access renewable energy project simplicity retail power contractwe proud constellation bank america choose mammoth advance environmental social governance esg goal say nick cohen president ceo doral investor world reward clean energy effort big winner community revitalize even bee butterfly winner deal include special provision pollinator habitat commitment constellation bank america validation economic development effort indiana community leadership starke pulaski county,"June 23, 2022 at 11:30 AM Eastern",2022
